Service_Name (filename2),provider_name (filename1),Physical_Address (filename2),formatted_address (filename1),residential_places (filename2),residential_places (filename1)
A H Orr Lodge,NA,"27 Clissold STREET, ASHFIELD, NSW, 2131",NA,60,NA
Moyne Aged Care Plus Centre (0033),NA,"161 Nangar ROAD, CANOWINDRA, NSW, 2804",NA,34,NA
Catholic Healthcare St Francis Aged Care,NA,"226 Arthur STREET, GRAFTON, NSW, 2460",NA,48,NA
Rosedurnate Aged Care Plus Centre (0130),NA,"46 Orange STREET, PARKES, NSW, 2870",NA,41,NA
Aurrum Norah Head,NA,"60 Soldiers Point DRIVE, NORAH HEAD, NSW, 2263",NA,53,NA
Hazelholme Hostel,NA,"3-5 Lord STREET, YEOVAL, NSW, 2868",NA,17,NA
Lilliane Brady Village Hostel,NA,"2 Nullamut STREET, COBAR, NSW, 2835",NA,24,NA
Catholic Healthcare St Francis Aged Care,NA,"85-89 Clinton STREET, ORANGE, NSW, 2800",NA,53,NA
Waratah Respite Centre (Mid North Coast) Incorporated,NA,"22 Earl STREET, COFFS HARBOUR, NSW, 2450",NA,6,NA
Presbyterian Aged Care - Ashfield,NA,"40 Charlotte STREET, ASHFIELD, NSW, 2131",NA,138,NA
Wallsend Aged Care Facility,NA,"10 Longworth AVENUE, WALLSEND, NSW, 2287",NA,98,NA
Rosedurnate Aged Care Plus Centre (2503),NA,"46 Orange STREET, PARKES, NSW, 2870",NA,29,NA
Mercy Aged Care Services (Singleton),NA,"24 Combo LANE, SINGLETON, NSW, 2330",NA,44,NA
Aurrum Wyoming,NA,"80 Chamberlain ROAD, WYOMING, NSW, 2250",NA,60,NA
RFBI Moonbi Masonic Village - Moonby,NA,"New England HIGHWAY, KOOTINGAL, NSW, 2352",NA,34,NA
RFBI Bellingen Masonic Village,NA,"22 Church STREET, BELLINGEN, NSW, 2454",NA,30,NA
Uniting Mirinjani Weston ACT,NA,"11 NAMATJIRA DRIVE, WESTON, ACT, 2611",NA,62,NA
Uniting Mirinjani Weston ACT,NA,"15 Conder STREET, WESTON, ACT, 2611",NA,124,NA
Mercy Place Corben,NA,"9-15 Brindisi STREET, MENTONE, VIC, 3194",NA,46,NA
Jessie Bowe House,NA,"1 Chapel STREET, MALDON, VIC, 3463",NA,12,NA
Rochester and District Hostel,NA,"1 PASCOE STREET, ROCHESTER, VIC, 3561",NA,30,NA
Twin Parks Hostel,NA,"47 Blake STREET, RESERVOIR, VIC, 3073",NA,43,NA
Calvary Hallam,NA,"47-49 Belgrave Hallam ROAD, HALLAM, VIC, 3803",NA,60,NA
Tarago Views Aged Care,NA,"29-39 Main ROAD, NEERIM SOUTH, VIC, 3831",NA,25,NA
Churches of Christ Marana Gardens Aged Care Service,NA,"10 Ridgeway AVENUE, SOUTHPORT, QLD, 4215",NA,71,NA
McAuley Place,NA,"263 Agnes STREET, ROCKHAMPTON, QLD, 4700",NA,31,NA
Resthaven On Quarry,NA,"10 Sands TERRACE, NORTH MACKAY, QLD, 4740",NA,63,NA
Bethesda Caring Centre,NA,"29 Grace STREET, CORINDA, QLD, 4075",NA,75,NA
Barossa Village Incorporated,NA,"7 Atze PARADE, NURIOOTPA, SA, 5355",NA,23,NA
All Care Aged Care The Vales,NA,"60-66 States ROAD, MORPHETT VALE, SA, 5162",NA,180,NA
ACH Group Residential Care - West Park,NA,"7 PARTRIDGE STREET, GOOLWA, SA, 5214",NA,60,NA
J E Murray Home,NA,"16 Deerness WAY, ARMADALE, WA, 6112",NA,78,NA
Regis Weston,NA,"118-120 Monash AVENUE, NEDLANDS, WA, 6009",NA,133,NA
Aurrum Erina,NA,"351 Terrigal DRIVE, ERINA, NSW, 2250",NA,250,NA
Anglicare Goodhew Gardens,NA,"2-28 Alexander AVENUE, TAREN POINT, NSW, 2229",NA,171,NA
Epping Gardens,NA,"25 Willandra DRIVE, EPPING, VIC, 3076",NA,148,NA
Hunters Hill Montefiore Home,Hunters Hill Montefiore Home,"120 High STREET, HUNTERS HILL, NSW, 2110","120 High St, Hunters Hill NSW 2110, Australia",333,333
The Whiddon Group - Glenfield,Whiddon Glenfield,"81 Belmont ROAD, GLENFIELD, NSW, 2167","81 Belmont Rd, Glenfield NSW 2167, Australia",317,317
Peninsula Villages Ltd,Peninsula Villages Ltd,"91 POZIERES AVENUE, UMINA BEACH, NSW, 2257","91 Pozieres Ave, Umina Beach NSW 2257, Australia",314,314
Calvary Cessnock Retirement Community,Calvary Cessnock Retirement Community,"19 Wine Country DRIVE, CESSNOCK, NSW, 2325","We Help Ourselves, 19 Wine Country Dr, Cessnock NSW 2325, Australia",296,296
Uniting Wesley Gardens Belrose,Uniting Wesley Gardens Belrose,"2 B Morgan ROAD, BELROSE, NSW, 2085","Wesley Gardens Aged Care, 2B Morgan Rd, Belrose NSW 2085, Australia",285,285
Randwick Montefiore Home,Randwick Montefiore Home,"30-36 Dangar STREET, RANDWICK, NSW, 2031","100/120 King St, Randwick NSW 2031, Australia",276,276
Regis Sandgate - Musgrave,Regis Sandgate - Musgrave,"60 Wakefield STREET, SANDGATE, QLD, 4017","60 Wakefield St, Sandgate QLD 4017, Australia",272,272
Homestead Estate Residential Aged Care,Homestead Estate Residential Aged Care,"9-11 Homestead AVENUE, WALLINGTON, VIC, 3222","1497-1499 Bellarine Hwy, Wallington VIC 3222, Australia",260,260
IRT Thomas Holt Kirrawee,IRT Thomas Holt Kirrawee,"1-25 Acacia ROAD,  NORTH, KIRRAWEE, NSW, 2232","1-25 Acacia Rd, Kirrawee NSW 2232, Australia",253,253
Oran Park House Aged Care Facility,Oran Park House Aged Care Facility,"1 Thompson ROAD, ORAN PARK, NSW, 2570","1 Thompson Rd, Oran Park NSW 2570, Australia",250,250
NA,Estia Health Erina,NA,"351 Terrigal Dr, Erina NSW 2250, Australia",NA,250
The Good Shepherd Nursing Home,The Good Shepherd Nursing Home,"565 University ROAD, ANNANDALE, QLD, 4814","Good Shepherd Nursing Home, 565 University Rd, Annandale QLD 4814, Australia",246,246
HammondCare Waratah,HammondCare Waratah,"15 Tinonee ROAD, WARATAH, NSW, 2298","15 Tinonee Rd, Waratah NSW 2298, Australia",238,238
Aegis Shoreline,Aegis Shoreline,"2 Kaleep CLOSE, NORTH COOGEE, WA, 6163","16 Bennett Ave, North Coogee WA 6163, Australia",238,238
SummitCare Baulkham Hills,SummitCare Baulkham Hills,"5 Bass DRIVE, BAULKHAM HILLS, NSW, 2153","5 Bass Dr, Baulkham Hills NSW 2153, Australia",232,232
Village Glen Aged Care Residences - Capel Sound,Regis Capel Sound,"34 a Balaka STREET, ROSEBUD WEST, VIC, 3940","Ti-Tree Gardens Aged Care, 34A Balaka St, Capel Sound VIC 3940, Australia",231,231
Eldercare Allambi,Eldercare Allambi,"86 Oaklands ROAD, GLENGOWRIE, SA, 5044","86 Oaklands Rd, Glengowrie SA 5044, Australia",225,225
Portofino Hamilton,Portofino Hamilton,"101-109 Allen STREET, HAMILTON, QLD, 4007","101 Allen St, Hamilton QLD 4007, Australia",225,225
RSL ANZAC Village,RSL ANZAC Village,"90 Veterans PARADE, NARRABEEN, NSW, 2101","90 Veterans Parade, Narrabeen NSW 2101, Australia",221,221
Bolton Clarke Glendale (VIC),Bolton Clarke Glendale (VIC),"1 Glendale COURT, WERRIBEE, VIC, 3030","265 Heaths Rd, Werribee VIC 3030, Australia",220,220
BlueCross Box Hill,Box Hill Views Care Community,"40 Dorking ROAD, BOX HILL, VIC, 3128","48 Dorking Rd, Box Hill VIC 3128, Australia",217,217
Peter Cosgrove House,Peter Cosgrove House,"90 Veterans PARADE, NARRABEEN, NSW, 2101","90 Veterans Parade, Narrabeen NSW 2101, Australia",216,216
BlueCross Livingstone Gardens,Vermont Views Care Community,"39 Livingstone ROAD, VERMONT SOUTH, VIC, 3133","39 Livingstone Rd, Vermont South VIC 3133, Australia",215,215
St Vincent's Care Services Heathcote,St Vincent's Care Services Heathcote,"15 The AVENUE, HEATHCOTE, NSW, 2233","15 The Avenue, Heathcote NSW 2233, Australia",213,213
